12/25/2013,12/25/2013,1600.1,99.20,1
12/25/2013,12/25/2013,1600.2,99.20,1
12/25/2013,12/25/2013,1600.3,99.20,1
12/25/2013,12/25/2013,1600.4,99.20,2
12/25/2013,12/25/2013,1600.5,99.20,1
12/25/2013,12/25/2013,1600.6,99.17,1
12/25/2013,12/25/2013,1600.7,99.16,1
12/25/2013,12/25/2013,1600.8,99.16,1
12/25/2013,12/25/2013,1600.9,99.16,1
12/25/2013,12/25/2013,1600.10,99.16,1
12/25/2013,12/25/2013,1600.11,99.16,1
12/25/2013,12/25/2013,1600.12,99.15,3
12/25/2013,12/25/2013,1600.13,99.19,1
12/25/2013,12/25/2013,1600.14,99.15,1
12/25/2013,12/25/2013,1600.15,99.18,1
12/25/2013,12/25/2013,1600.16,99.19,1
12/25/2013,12/25/2013,1600.17,99.19,1
12/25/2013,12/25/2013,1600.18,99.20,1
12/25/2013,12/25/2013,1600.19,99.21,1
12/25/2013,12/25/2013,1600.20,99.21,1
12/25/2013,12/25/2013,1600.21,99.21,1
12/25/2013,12/25/2013,1600.22,99.21,1
12/25/2013,12/25/2013,1600.23,99.21,1
12/25/2013,12/25/2013,1600.24,99.20,1
12/25/2013,12/25/2013,1600.25,99.18,1
12/25/2013,12/25/2013,1600.26,99.18,1
12/25/2013,12/25/2013,1600.27,99.16,1
12/25/2013,12/25/2013,1601.28,99.16,1
12/25/2013,12/25/2013,1601.29,99.15,1
12/25/2013,12/25/2013,1601.30,99.15,1
12/25/2013,12/25/2013,1601.31,99.16,1
12/25/2013,12/25/2013,1601.32,99.17,1
12/25/2013,12/25/2013,1601.33,99.15,1
12/25/2013,12/25/2013,1602.34,99.14,1
12/25/2013,12/25/2013,1602.35,99.13,1
12/25/2013,12/25/2013,1602.36,99.15,1
12/25/2013,12/25/2013,1602.37,99.15,1
12/25/2013,12/25/2013,1602.38,99.13,4
12/25/2013,12/25/2013,1602.39,99.13,1
12/25/2013,12/25/2013,1602.40,99.13,1
12/25/2013,12/25/2013,1602.41,99.12,1
12/25/2013,12/25/2013,1602.42,99.12,1
12/25/2013,12/25/2013,1602.43,99.12,5
12/25/2013,12/25/2013,1602.44,99.12,1
12/25/2013,12/25/2013,1602.45,99.11,8
12/25/2013,12/25/2013,1602.46,99.11,2
12/25/2013,12/25/2013,1602.47,99.11,1
